StartDate,EndDate,Progress,Duration (in seconds),Finished,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Text / Graphic,Q1,Q2,Q3,Q4,Q5,Q6_15,Q6_16,Q6_17,Q6_18,Q6_19,Q7_0_GROUP,Q7_1_GROUP,Q7_2_GROUP,Q7_0_1_RANK,Q7_0_2_RANK,Q7_0_3_RANK,Q7_0_4_RANK,Q7_0_5_RANK,Q7_0_6_RANK,Q7_0_7_RANK,Q7_0_8_RANK,Q7_0_9_RANK,Q7_0_10_RANK,Q7_0_11_RANK,Q7_0_12_RANK,Q7_0_13_RANK,Q7_0_14_RANK,Q7_1_1_RANK,Q7_1_2_RANK,Q7_1_3_RANK,Q7_1_4_RANK,Q7_1_5_RANK,Q7_1_6_RANK,Q7_1_7_RANK,Q7_1_8_RANK,Q7_1_9_RANK,Q7_1_10_RANK,Q7_1_11_RANK,Q7_1_12_RANK,Q7_1_13_RANK,Q7_1_14_RANK,Q7_2_1_RANK,Q7_2_2_RANK,Q7_2_3_RANK,Q7_2_4_RANK,Q7_2_5_RANK,Q7_2_6_RANK,Q7_2_7_RANK,Q7_2_8_RANK,Q7_2_9_RANK,Q7_2_10_RANK,Q7_2_11_RANK,Q7_2_12_RANK,Q7_2_13_RANK,Q7_2_14_RANK,Q8,Q9,Q10,Q11,Q12,Q12_1_TEXT,Q13,Q14,Q15,Q15_6_TEXT,Q16,Q17,Q18,Q18_24_TEXT,Q19,Q20
7/4/2022 10:01,7/4/2022 10:04,100,163,TRUE,,28.1147,-82.3678,anonymous,EN,Yes,<3 times per year,I prefer not to answer this question.,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,42,42,14,53,51,Allegiant Air,Spirit Airlines,Alaska Airlines,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,No,No,No,No,No,,No,25-34 years old,Female,,No,Asian,Islam,,Depression,
7/4/2022 10:12,7/4/2022 10:24,100,722,TRUE,,30.3023,-97.6914,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of national origin.","No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,25,55,25,55,60,,,"JetBlue,Frontier Airlines,Alaska Airlines,Allegiant Air,Avelo Airlines,Sun Country Airlines,Breeze Airways,Eastern Airlines,Hawaiian Airlines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,5,7,,8,2,9,1,,,6,,No,No,No,No,No,,Yes,65+ years old,Male,,Yes,Asian,Islam,,Type 2 Diabetes,I faced intense questioning when traveling from Pakistan to USA. Both at Frankfort airport and DFW airport. Was separated from line.
7/4/2022 10:43,7/4/2022 10:46,100,190,TRUE,,44.833,-91.5125,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,50,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-54 years old,Female,,Yes,White,,,,
7/4/2022 10:56,7/4/2022 11:12,100,926,TRUE,,28.7594,-81.3512,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of religion.","No, I have not filed a complaint.",No,Long beard,50,50,10,50,10,"Southwest Airlines,Frontier Airlines,Spirit Airlines,Alaska Airlines,JetBlue","Delta Air Lines,American Airlines,United Airlines","Allegiant Air,Eastern Airlines,Breeze Airways,Avelo Airlines,Sun Country Airlines,Hawaiian Airlines",4,,,,,,,2,,5,1,3,,,,,2,,,1,,,,,,,,3,,1,,4,3,,2,,6,,,,5,,No,No,No,Yes,No,,Yes,35-44 years old,Male,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,In general when you land from country of origin in Asia to US Airport without any reason Muslims are selected for more security checks alot of derogatory questions like a criminal have come home irrespective how much we love our country in general and contribute to its wellbeing. 
7/4/2022 11:26,7/4/2022 11:30,100,203,TRUE,,42.2878,-71.3587,anonymous,EN,Yes,Monthly,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,50,50,40,40,40,"American Airlines,JetBlue,Delta Air Lines","United Airlines,Southwest Airlines","Spirit Airlines,Alaska Airlines,Allegiant Air,Avelo Airlines,Breeze Airways,Eastern Airlines,Hawaiian Airlines,Frontier Airlines,Sun Country Airlines",,,1,,,3,,,,2,,,,,,,,,,,,,,,2,,,1,2,3,,4,5,,6,8,7,,,1,9,,No,No,No,No,No,,Yes,35-44 years old,Female,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,
7/4/2022 11:33,7/4/2022 11:39,100,348,TRUE,,27.9448,-82.2409,anonymous,EN,Yes,Monthly,I prefer not to answer this question.,"No, I have not filed a complaint.",No,Muslim Headscarf / Hijab,51,54,24,48,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,Careful with packing for security restrictions. Planning ahead outfits to wear. Etc. ,Yes,25-34 years old,Female,,Yes,Some Other Race,Islam,,I prefer not to answer this question.,Being overly aggressively searched especially buns under scarves and clothing. Feeling like aggression increases if you ask for private room. Etc. 
7/4/2022 11:34,7/4/2022 11:40,100,327,TRUE,,39.0503,-77.3909,anonymous,EN,Yes,Monthly,"Yes, on the basis of religion.","Yes, I filed a complaint with a federal agency.",No,Long beard,100,100,100,100,100,United Airlines,American Airlines,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,Yes,"Smiling, lots of smiling and being helpful genuinely to passengers around me",Yes,45-54 years old,Male,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,"There was a period of several years when I received a SSSS designation on my boarding pass, hassles at fhe border upon returning to the US. After a meeting with the FBI at my request, most of those issues have not occurred. But it does beg the question, why was I being profiled to begin with..."
7/4/2022 13:00,7/4/2022 13:08,100,513,TRUE,,40.5025,-86.1462,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of race.","No, I have not filed a complaint.",Yes,I do not visibly represent any religious symbols.,73,74,73,54,76,"Delta Air Lines,Southwest Airlines,American Airlines","Spirit Airlines,United Airlines,Frontier Airlines,Allegiant Air","Sun Country Airlines,Breeze Airways,Avelo Airlines",,,3,,,1,,,,,2,,,,,4,,,,,,3,,,,1,,2,,,,3,2,,,,,,,,1,,No,No,No,Yes,No,,No,45-54 years old,Female,,Yes,Black of African American,Christianity,,I do not suffer from any chronic illness.,I have been stopped and screened in addition to the security check several times usually being attributed to a change in my normal travel patterns or because I was traveling alone. I was looking for a job or internship in two of those checks but otherwise I suspect they thought I was a drug mule because I was going to Europe for vacation alone. All different airlines so can't say that was just updated screening on their part. It has eased up a little as I have gotten older and after doing the trusted traveler program but it hasn't stopped. 
7/4/2022 13:08,7/4/2022 13:12,100,283,TRUE,,28.8024,-81.5316,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of religion.","No, I do not know how to file a complaint.",No,I do not visibly represent any religious symbols.,9,27,5,61,72,"JetBlue,Southwest Airlines","United Airlines,Frontier Airlines,Delta Air Lines,American Airlines","Hawaiian Airlines,Sun Country Airlines,Breeze Airways",,,,,,,,,,1,2,,,,,,4,,,3,,2,,,,,,1,,,,,3,,,,1,,,,2,,No,Yes,No,No,No,,Yes,45-54 years old,Male,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,
7/4/2022 13:03,7/4/2022 13:14,100,665,TRUE,,38.7986,-76.9959,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,Long beard,51,43,17,81,90,"Southwest Airlines,JetBlue,United Airlines",American Airlines,"Alaska Airlines,Sun Country Airlines,Avelo Airlines",,,,,,,,,,2,1,,,3,,,1,,,,,,,,,,,,1,,,3,,,,,,,,,2,,No,Yes,No,No,No,,Yes,55-64 years old,Male,,Yes,Asian,Islam,,"Type 2 Diabetes,Arthritis,Asthma",Was profiled at JFK airport going to haj
7/4/2022 13:47,7/4/2022 13:49,100,106,TRUE,,40.9457,-74.1826,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,52,59,54,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,Yes,35-44 years old,Male,,Yes,Asian,Islam,,Asthma,
7/4/2022 14:54,7/4/2022 14:58,100,259,TRUE,,37.7794,-122.2178,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of race.,Yes, on the basis of religion.,Yes, on the basis of sex.","Yes, I filed a complaint with a federal agency.,Yes, I filed a complaint with a state agency..",No,I do not visibly represent any religious symbols.,0,,,,,"Alaska Airlines,United Airlines","Southwest Airlines,Delta Air Lines,American Airlines,Sun Country Airlines,Spirit Airlines","Frontier Airlines,JetBlue,Hawaiian Airlines,Eastern Airlines,Breeze Airways,Allegiant Air,Avelo Airlines",1,,,,,,,,,,,,,2,,,3,,,2,,,,,1,5,4,,,6,,7,5,,4,1,3,2,,,,,No,Yes,Yes,Yes,No,,Yes,45-54 years old,Female,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,Dragged off plane and arrested for completely no reason 
7/4/2022 14:47,7/4/2022 14:59,100,671,TRUE,,28.5788,-81.4396,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of religion.","No, I have not filed a complaint.",No,Muslim Headscarf / Hijab,,,0,,,"Allegiant Air,Southwest Airlines,United Airlines,JetBlue,American Airlines",Spirit Airlines,"Avelo Airlines,Hawaiian Airlines,Alaska Airlines,Sun Country Airlines",,1,5,,,,,,,4,2,,,3,,,,,,,,,,,,1,,,3,,,1,,,,,2,,,,4,,No,No,No,No,No,,Yes,65+ years old,Female,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,I have a noble profession and treated in my town with dignity( market place malls restaurants office grocery stores ) but at airport I ama a SUSPECT bec of hijab I have pre tsa global entry but they check my hands and body for Explosive 
7/4/2022 23:39,7/5/2022 0:05,100,1540,TRUE,,28.53,-81.4807,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,Your Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,Yes,55-64 years old,Female,,Yes,Asian,Islam,,Type 2 Diabetes,
7/5/2022 0:52,7/5/2022 1:01,100,545,TRUE,,34.043,-117.7556,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of race.,Yes, on the basis of sex.,Yes, on the basis of ancestry.","No, I have not filed a complaint.,No, I do not know how to file a complaint.",No,I do not visibly represent any religious symbols.,50,50,20,40,50,"Alaska Airlines,American Airlines,Southwest Airlines,JetBlue,Hawaiian Airlines,Delta Air Lines","United Airlines,Spirit Airlines,Frontier Airlines","Breeze Airways,Eastern Airlines,Avelo Airlines,Allegiant Air,Sun Country Airlines",1,,2,,,6,,,5,4,3,,,,,,,,,,,3,,,,2,,1,,4,,3,1,,2,,,,,,5,,No,No,No,Yes,Yes,I say as little as possible when I’m asked about my ethnicity and profession.,Yes,35-44 years old,Female,,Yes,Hispanic or Latino,Other,Not religious,"Depression,Asthma","I was flagged for 10 years after Canadian border patrol detained me crossing the border in a car in 2009. I was assumed to be Native American and a reporter. I was routinely stopped and asked additional questions about my background and travel plans. Sometimes they focused on my Mexican heritage, other times they focused on their assumption I was Native American. I was frequently asked questions that appeared to me were based on me being a young woman traveling alone who might be smuggling items or looking for under the table work. Whenever I came back to the US, I had an X on my face at ports of entry and had to go through additional revision. Even my travel partners were discouraged from staying with me and I felt Border Patrol attempted to isolate me from companions when I was not alone."
